Fra:74 Mem:1219.85M (Peak 1568.91M) | Time:00:00.56 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | rangerover0
Fra:74 Mem:1314.81M (Peak 1961.96M) | Time:00:01.38 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:74 Mem:863.18M (Peak 1961.96M) | Time:00:01.40 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:74 Mem:863.18M (Peak 1961.96M) | Time:00:01.41 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:74 Mem:863.18M (Peak 1961.96M) | Time:00:01.41 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:74 Mem:863.18M (Peak 1961.96M) | Time:00:01.41 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Procedurals
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Background
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Camera
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Meshes Flags
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Objects
Fra:74 Mem:863.56M (Peak 1961.96M) | Time:00:01.43 | Mem:0.12M, Peak:0.12M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:74 Mem:863.60M (Peak 1961.96M) | Time:00:01.43 | Mem:0.15M, Peak:0.15M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:74 Mem:863.60M (Peak 1961.96M) | Time:00:01.43 | Mem:0.15M, Peak:0.15M | Scene, RenderLayer | Updating Particle Systems
Fra:74 Mem:863.60M (Peak 1961.96M) | Time:00:01.43 | Mem:0.15M, Peak:0.15M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:74 Mem:863.60M (Peak 1961.96M) | Time:00:01.43 | Mem:0.15M, Peak:0.15M | Scene, RenderLayer | Updating Meshes
Fra:74 Mem:903.47M (Peak 1961.96M) | Time:00:01.49 | Mem:0.15M, Peak:0.15M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:74 Mem:903.54M (Peak 1961.96M) | Time:00:01.49 | Mem:0.17M, Peak:0.17M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:74 Mem:903.50M (Peak 1961.96M) | Time:00:01.49 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:74 Mem:903.51M (Peak 1961.96M) | Time:00:01.49 | Mem:0.18M, Peak:0.18M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:74 Mem:903.51M (Peak 1961.96M) | Time:00:01.50 | Mem:176.02M, Peak:176.02M | Scene, RenderLayer | Updating Scene BVH | Building BVH 0%
Fra:74 Mem:903.51M (Peak 1961.96M) | Time:00:01.75 | Mem:294.02M, Peak:294.02M | Scene, RenderLayer | Updating Scene BVH | Building BVH 70%
Fra:74 Mem:903.51M (Peak 1961.96M) | Time:00:01.83 | Mem:216.02M, Peak:344.02M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:74 Mem:903.51M (Peak 1961.96M) | Time:00:01.83 | Mem:216.02M, Peak:344.02M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:74 Mem:1082.93M (Peak 1961.96M) | Time:00:01.93 | Mem:216.02M, Peak:344.02M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:74 Mem:1082.93M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Objects Flags
Fra:74 Mem:1082.93M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Primitive Offsets
Fra:74 Mem:1082.93M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images
Fra:74 Mem:1082.93M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000166.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000165.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000187.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000039.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000002.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000000.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000185.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000040.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000041.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000043.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000045.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000046.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000184.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000047.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000048.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000049.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000050.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000051.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000052.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000053.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000183.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000054.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000055.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000056.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000057.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000058.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000059.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000182.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000061.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000063.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000163.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000162.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000161.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000160.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000159.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000158.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000157.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000168.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000156.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000155.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000154.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000153.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000152.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000151.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000065.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000066.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000181.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000150.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000169.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000149.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000148.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000147.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000146.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000145.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000144.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000143.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000170.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000142.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000141.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000140.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000139.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000138.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000137.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000136.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000171.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000135.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000134.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000133.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000132.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000131.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000130.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000129.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000172.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000128.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000127.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000126.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000125.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000123.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000124.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000122.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000173.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000121.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000120.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000119.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000118.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000117.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000116.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000115.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000174.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000114.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000113.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000112.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000111.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000110.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000109.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000175.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000108.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000107.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000106.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000105.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000104.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000103.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000102.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000176.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000101.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000100.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000099.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000098.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000097.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000096.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000095.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000177.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000094.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000093.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000092.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000091.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000090.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000089.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000088.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000178.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000087.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000086.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000085.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000084.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000083.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000082.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000179.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000081.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000080.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000079.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000078.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000077.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000076.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000075.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000180.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000074.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000073.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000072.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000071.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000070.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.93 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Images | Loading 0000000069.png
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.94 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Camera Volume
